Card ID,Card Name,1st Edition?,Card Set,Rarity,Quantity,Est. Max Price Per Card
DP2-EN017,VWXYZ-Dragon Catapult Cannon,N,Deulist Pack 2: Chazz Princeton,Rare,2,5.49,
DP2-EN018,Ojama Delta Hurricane!!,N,Deulist Pack 2: Chazz Princeton,Common,2,6.47,
DP2-EN019,Level Modulation,N,Deulist Pack 2: Chazz Princeton,Rare,4,6.35,
DP2-EN020,Ojamagic,N,Deulist Pack 2: Chazz Princeton,Rare,1,9.99,
DP2-EN022,Chthonian Alliance,N,Deulist Pack 2: Chazz Princeton,Common,3,1.85,
DP2-EN023,Armed Changer,N,Deulist Pack 2: Chazz Princeton,Common,3,1.48,
DP2-EN026,Draining Shield,N,Deulist Pack 2: Chazz Princeton,Common,1,52.83,
DP2-EN027,Ojama Trio,N,Deulist Pack 2: Chazz Princeton,Common,2,6.18,
DP2-EN028,Chthonian Blast,N,Deulist Pack 2: Chazz Princeton,Common,3,0.99,
DP2-EN029,Chthonian Polymer,N,Deulist Pack 2: Chazz Princeton,Common,5,3.24,
DP2-EN030,The Grave of Enkindling,N,Deulist Pack 2: Chazz Princeton,Super Rare,2,5.65,
DR2-EN002,Ojama Black,N,Dark Revelation 2 (English),Common,2,3.95,
DR2-EN011,Sasuke Samurai #3,N,Dark Revelation 2 (English),Common,1,2.49,
DR2-EN023,Chaos Sorcerer,N,Dark Revelation 2 (English),Common,1,2.25,
DR2-EN030,Granadora,N,Dark Revelation 2 (English),Common,1,3.90,
DR2-EN036,Chaos End,N,Dark Revelation 2 (English),Common,1,2.90,
DR2-EN038,Chaos Greed,N,Dark Revelation 2 (English),Common,1,no available value,
DR2-EN048,Blasting the Ruins,N,Dark Revelation 2 (English),Common,1,3.90,
DR2-EN050,Tower of Babel,N,Dark Revelation 2 (English),Common,1,1.90,
DR2-EN055,Energy Drain,N,Dark Revelation 2 (English),Common,1,0.99,
DR2-EN058,Mad Dog of Darkness,N,Dark Revelation 2 (English),Common,1,0.99,
DR2-EN061,Terrorking Salmon,N,Dark Revelation 2 (English),Common,1,1.90,
DR2-EN063,The Bistro Butcher,N,Dark Revelation 2 (English),Common,1,4.90,
DR2-EN064,The Thing in the Crater,N,Dark Revelation 2 (English),Common,1,2.86,
DR2-EN071,Enraged Battle Ox,N,Dark Revelation 2 (English),Common,2,1.90,
DR2-EN090,Getsu Fuhma,N,Dark Revelation 2 (English),Common,1,1.90,
DR2-EN092,Gryphon's Feather Duster,N,Dark Revelation 2 (English),Common,1,1.90,
DR2-EN094,Smashing Ground,N,Dark Revelation 2 (English),Common,2,4.90,
DR2-EN098,Ultra Evolution Pill,N,Dark Revelation 2 (English),Common,1,6.00,
DR2-EN099,Multiplication of Ants,N,Dark Revelation 2 (English),Common,1,7.00,
DR2-EN103,Fiend's Hand Mirror,N,Dark Revelation 2 (English),Common,1,0.99,
DR2-EN105,A Hero Emerges,N,Dark Revelation 2 (English),Common,1,2.97,
DR2-EN114,Warrior of Zera,N,Dark Revelation 2 (English),Common,1,4.90,
DR2-EN125,Vampire Lady,N,Dark Revelation 2 (English),Common,1,2.86,
DR2-EN126,Stone Statue of the Aztecs,N,Dark Revelation 2 (English),Rare,1,5.73,
DR2-EN128,Avatar of the Pot,N,Dark Revelation 2 (English),Common,1,3.99,
DR2-EN144,Solar Flare Dragon,N,Dark Revelation 2 (English),Common,2,2.60,
DR2-EN151,Monster Gate,N,Dark Revelation 2 (English),Common,1,1.59,
DR2-EN152,Amplifier,N,Dark Revelation 2 (English),Rare,1,5.73,
DR2-EN160,Light of Judgement,N,Dark Revelation 2 (English),Common,1,9.99,
DR2-EN162,Wall of Revealing Light,N,Dark Revelation 2 (English),Common,1,6.99,
DR2-EN163,Solar Ray,N,Dark Revelation 2 (English),Common,1,1.65,
DR2-EN167,Armor Break,N,Dark Revelation 2 (English),Common,2,0.99,
DR2-EN171,Kozaky,N,Dark Revelation 2 (English),Common,1,3.54,
DR2-EN173,Pharaoh's Servant,N,Dark Revelation 2 (English),Common,1,1.74,
DR2-EN183,3-Hump Lacooda,N,Dark Revelation 2 (English),Common,1,0.99,
DR2-EN190,Grave Protector,N,Dark Revelation 2 (English),Common,1,no available value,
DR2-EN191,Double Coston,N,Dark Revelation 2 (English),Rare,1,2.40,
DR2-EN202,Spell Economics,N,Dark Revelation 2 (English),Rare,1,3.06,
DR2-EN206,Enchanting Fitting Room,N,Dark Revelation 2 (English),Common,1,3.90,
DR2-EN213,The Second Sarcophagus,N,Dark Revelation 2 (English),Common,1,5.30,
DR2-EN216,Judement of the Dessert,N,Dark Revelation 2 (English),Common,1,no available value,
DR2-EN217,Dark Dust Spirit,N,Dark Revelation 2 (English),Common,1,2.09,
DR2-EN221,Labyrinth of Nightmare,N,Dark Revelation 2 (English),Common,1,2.49,
EDS-001,Exchange,N,Eternal Duelist,Secret Rare,1,45.00,
EDS-002,Graceful Dice,N,Eternal Duelist Soul,Secret Rare,1,205.25,
EEN-EN001,"Zure, Knight of Dark World",N,Elemental Energy (English),Common,19.99,
EEN-EN011,W-Wing Catapult,N,Elemental Energy (English),Common,1,3.21,
EEN-EN018,Nanobreaker,N,Elemental Energy (English),Common,1,1.90,
EEN-EN019,Rapid-Fire Magician,N,Elemental Energy (English),Rare,1,29.99,
EEN-EN040,Ojamagic,N,Elemental Energy (English),Common,1,2.25,
EEN-EN046,Branch!,N,Elemental Energy (English),Common,1,1.28,
EEN-EN048,Gareway to Dark World,N,Elemental Energy (English),Common,1,20.00,
EEN-EN049,Hero Barrier,N,Elemental Energy (English),Rare,1,29.43,
EEN-EN052,Dark Deal,N,Elemental Energy (English),Common,1,2.11,
EP1-EN001,Theinen the Great Sphinx,N,Exclusive Pack 1 (English),Ultra Rare,2,150.00,
EP1-EN002,Andro Sphinx,N,Exclusive Pack 1 (English),Ultra Rare,2,150.00,
EP1-EN003,Sphinx Teleia,N,Exclusive Pack 1 (English),Ultra Rare,1,150.00,
EP1-EN004,Rare Metal Dragon,N,Exclusive Pack 1 (English),Common,3,8.00,
EP1-EN005,Peten the Dark Clown,N,Exclusive Pack 1 (English),Common,3,2.74,
EP1-EN006,Familiar Knight,N,Exclusive Pack 1 (English),Common,3,5.49,
EP1-EN007,Inferno Tempest,N,Exclusive Pack 1 (English),Common,3,16.99,
EP1-EN008,Return from the Different Dimension,N,Exclusive Pack 1 (English),Common,3,2.99,
GBI-001,Slifer the Sky Dragon,N,Duel Monsters International: Worldwide Edition,Ultra Rare,1,65000.00,
GBI-002,Obelisk the Tormentor,N,Duel Monsters International: Worldwide Edition,Ultra Rare,1,1607.94,
GBI-003,The Winged Dragon of Ra,N,Duel Monsters International: Worldwide Edition,Ultra Rare,1,3500.00,
HL1-EN001,Lord of the Lamp,N,Hobby League 1 (English),Common,1,20.50,
IOC-001,Ojama Yellow,N,Invasion of Chaos,Common,1,77.00,
IOC-010,Chopman the Desperate Outlaw,N,Invasion of Chaos,Common,1,169.99,
IOC-037,Yellow Luster Shield,N,Invasion of Chaos,Common,1,2.88,
IOC-040,D. D. Borderline,N,Invasion of Chaos,Common,1,1.95,
IOC-051,Spatial Collapse,N,Invasion of Chaos,Common,1,3.00,
IOC-053,Zero Gravity,N,Invasion of Chaos,Common,1,2.90,
IOC-062,Burning Algae,N,Invasion of Chaos,Common,1,2.49,
IOC-072,Balloon Lizard,N,Invasion of Chaos,Common,1,2.34,
IOC-095,Dedication Through Light and Darkness,N,Invasion of Chaos,Super Rare,1,35.00,
